date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	turnover
2016-07-22	9.2	9.23	9.1	9.08	125755.19	-0.12	-1.3	9.196	9.265	9.245	117380.78	158090.95	197838.55	0.63
2016-07-21	9.19	9.32	9.23	9.17	132977.28	0.02	0.22	9.232	9.283	9.229	127268.61	161532.02	201743.07	0.67
2016-07-20	9.24	9.3	9.21	9.2	100528.0	-0.04	-0.43	9.264	9.291	9.215	131044.39	168174.28	201530.27	0.51
2016-07-19	9.2	9.26	9.25	9.15	104098.06	0.06	0.65	9.302	9.304	9.207	160105.78	177586.33	203996.06	0.52
2016-07-18	9.21	9.25	9.19	9.13	123545.37	-0.08	-0.86	9.328	9.313	9.189	187112.69	188701.47	208581.27	0.62
2016-07-15	9.39	9.4	9.28	9.21	175194.34	-0.12	-1.28	9.334	9.33	9.175	198801.12	211562.21	207947.68	0.88
2016-07-14	9.43	9.43	9.39	9.31	151856.19	-0.01	-0.11	9.334	9.311	9.159	195795.42	211502.16	206711.36	0.76
2016-07-13	9.39	9.47	9.4	9.35	245834.95	0.03	0.32	9.318	9.291	9.135	205304.17	218245.43	206353.74	1.24
2016-07-12	9.23	9.4	9.38	9.12	239132.59	0.16	1.74	9.306	9.265	9.116	195066.89	218178.17	204885.7	1.2
2016-07-11	9.28	9.36	9.22	9.2	181987.52	-0.07	-0.75	9.298	9.25	9.085	190290.26	235814.06	199546.93	0.92
2016-07-08	9.3	9.37	9.28	9.21	160165.86	-0.03	-0.32	9.326	9.225	9.058	224323.3	237586.16	202728.92	0.81
2016-07-07	9.3	9.41	9.31	9.19	199399.91	-0.03	-0.32	9.288	9.174	9.058	227208.91	241954.13	203561.19	1.0
2016-07-06	9.35	9.4	9.34	9.21	194648.55	0.0	0.0	9.264	9.139	9.058	231186.68	234886.26	202612.53	0.98
2016-07-05	9.3	9.38	9.34	9.26	215249.44	-0.01	-0.11	9.224	9.11	9.06	241289.46	230405.78	206479.12	1.08
2016-07-04	9.06	9.58	9.36	9.01	352152.72	0.28	3.08	9.202	9.064	9.069	281337.87	228461.07	224231.02	1.77
2016-07-01	9.22	9.24	9.09	9.0	174593.91	-0.1	-1.09	9.124	9.02	9.064	250849.02	204333.16	226969.85	0.88
2016-06-30	9.15	9.26	9.19	9.1	219288.8	0.05	0.55	9.06	9.007	9.063	256699.35	201920.55	235206.08	1.1
2016-06-29	9.25	9.27	9.14	9.08	245162.41	-0.1	-1.08	9.014	8.979	9.062	238585.84	194462.05	248798.98	1.23
2016-06-28	8.92	9.38	9.23	8.88	415491.5	0.25	2.78	8.996	8.967	9.029	219522.1	191593.23	240591.9	2.09
2016-06-27	8.7	9.0	8.97	8.65	199708.5	0.2	2.28	8.926	8.919	8.996	175584.28	163279.81	224722.93	1.0
2016-06-24	8.93	8.99	8.77	8.55	203845.53	-0.17	-1.9	8.916	8.891	8.98	157817.3	167871.68	220987.53	1.03
